host,ip,lastupdatetime
h7vconnection.beihua.edu.cn,175.16.216.11,2023-07-09 22:36:58
lxy2.beihua.edu.cn,175.16.216.43,2023-06-09 19:38:35
mach2.beihua.edu.cn,175.16.216.43,2023-06-09 18:20:54
monitor.beihua.edu.cn,175.16.216.43,2023-06-09 18:05:09
fxcs.beihua.edu.cn,175.16.216.43,2023-06-09 18:04:54
bhtzb2011.beihua.edu.cn,175.16.216.43,2023-06-09 18:04:12
myadmin.beihua.edu.cn,175.16.216.87,2023-06-09 18:03:16
jiaowudata.beihua.edu.cn,175.16.216.108,2023-06-09 18:01:58
zcgldata.beihua.edu.cn,175.16.216.102,2023-06-09 17:57:38
class.beihua.edu.cn,175.16.216.59,2023-06-09 17:55:18
lcjy.beihua.edu.cn,175.16.216.43,2023-06-09 17:54:55
i.beihua.edu.cn,175.16.216.43,2023-06-09 17:53:06
atc2.beihua.edu.cn,175.16.216.43,2023-06-09 17:47:37
dean2.beihua.edu.cn,175.16.216.43,2023-06-09 17:46:23
wxy2.beihua.edu.cn,175.16.216.43,2023-06-09 17:46:08
alumni.beihua.edu.cn,175.16.216.43,2023-06-09 17:44:59
sbc2.beihua.edu.cn,175.16.216.43,2023-06-09 17:44:25
gsp.beihua.edu.cn,175.16.216.43,2023-06-09 17:43:52
jyxy2.beihua.edu.cn,175.16.216.43,2023-06-09 17:43:01
hhbe2011.beihua.edu.cn,175.16.216.43,2023-06-09 17:42:20
xnfz.beihua.edu.cn,175.16.216.51,2023-06-09 17:41:22
mec2011.beihua.edu.cn,175.16.216.43,2023-06-09 17:38:02
dqxy.beihua.edu.cn,175.16.216.43,2023-06-09 17:35:30
youth2.beihua.edu.cn,175.16.216.43,2023-06-09 17:32:19
jcw.beihua.edu.cn,175.16.216.43,2023-06-09 17:31:45
bhuaa2.beihua.edu.cn,175.16.216.43,2023-06-09 17:31:26
oic.beihua.edu.cn,175.16.216.43,2023-06-09 17:31:04
etc2.beihua.edu.cn,175.16.216.43,2023-06-09 17:31:02
hqbz.beihua.edu.cn,175.16.216.90,2023-06-09 17:26:56
jxcgz.beihua.edu.cn,175.16.216.43,2023-06-09 17:26:29
iee.beihua.edu.cn,175.16.216.43,2023-06-09 17:25:44
cloud.beihua.edu.cn,175.16.216.71,2023-06-09 17:25:05
bhu.beihua.edu.cn,175.16.216.43,2023-06-09 17:23:51
yw.beihua.edu.cn,175.16.216.118,2023-06-09 17:22:16
afee2011.beihua.edu.cn,175.16.216.43,2023-06-09 17:22:11
bhuef2.beihua.edu.cn,175.16.216.43,2023-06-09 17:21:57
jyxm.beihua.edu.cn,175.16.216.43,2023-06-09 17:18:17
lyhj.beihua.edu.cn,175.16.216.43,2023-06-09 17:16:50
txl.beihua.edu.cn,175.16.216.43,2023-06-09 17:16:14
office2.beihua.edu.cn,175.16.216.43,2023-06-09 17:15:55
ybg.beihua.edu.cn,175.16.216.43,2023-06-09 17:03:53
bxb.beihua.edu.cn,175.16.216.97,2023-06-09 17:03:48
music2.beihua.edu.cn,175.16.216.43,2023-06-09 17:02:33
test.beihua.edu.cn,175.16.216.43,2023-06-09 16:54:26
sec.beihua.edu.cn,175.16.216.100,2023-06-09 16:54:24
geesd2011.beihua.edu.cn,175.16.216.43,2023-06-09 16:53:46
qzlx.beihua.edu.cn,175.16.216.43,2023-06-09 16:52:59
wj.beihua.edu.cn,175.16.216.119,2023-06-09 16:52:31
fsyy.beihua.edu.cn,175.16.216.43,2023-06-09 16:48:54
bhu10.beihua.edu.cn,175.16.216.43,2023-06-09 16:35:03
eie2.beihua.edu.cn,175.16.216.43,2023-06-09 16:34:12
dwb.beihua.edu.cn,175.16.216.43,2023-06-09 16:25:00
foreign2.beihua.edu.cn,175.16.216.43,2023-06-09 16:06:52
med2.beihua.edu.cn,175.16.216.43,2023-06-09 16:06:48
zcgl.beihua.edu.cn,175.16.216.101,2023-06-09 16:00:15
ypcj.beihua.edu.cn,175.16.216.43,2023-06-09 15:56:11
kxfz.beihua.edu.cn,175.16.216.43,2023-06-09 15:45:15
cxzy.beihua.edu.cn,175.16.216.43,2023-06-09 15:40:32
ywwx.beihua.edu.cn,175.16.216.118,2023-06-09 15:39:51
hec2.beihua.edu.cn,175.16.216.43,2023-06-09 15:01:52
lab.econ.beihua.edu.cn,175.16.216.99,2023-06-09 14:51:03
ol.beihua.edu.cn,175.16.216.43,2023-06-09 14:47:26
xgzx.beihua.edu.cn,175.16.216.63,2023-06-09 14:45:07
yjs.beihua.edu.cn,175.16.216.43,2023-06-07 06:34:03
en.beihua.edu.cn,175.16.216.43,2023-06-07 05:37:41
lxysyzx2.beihua.edu.cn,175.16.216.43,2023-05-30 23:49:16
hqjt.beihua.edu.cn,2001:250:7402::1:1:45,2023-05-30 22:36:58
legacy.sec.beihua.edu.cn,175.16.216.100,2023-04-30 18:39:59
dongya.beihua.edu.cn,175.16.216.43,2023-04-30 18:39:16
ut.sec.beihua.edu.cn,175.16.216.100,2023-04-30 18:39:15
wild-resolver.sec.beihua.edu.cn,175.16.216.100,2023-04-18 13:14:50
