Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
#,Dirsearch,started,2025/2/2,14:25:15,as:,.\dirsearch.py,-u,https://lib.beihua.edu.cn/,-o,result.csv
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.php,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.log,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.old,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.old,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.original,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.php,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.original,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.old,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.php,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.py,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.old,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.py,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.log,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.php,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.php,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.py,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.py,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.rar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.sql,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.rb,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.swp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.rar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.swp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.py,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.sql,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.sql,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.swp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.rar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.sql,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.rar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.sql,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.rb,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.rb,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.rb,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.py,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.sql,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.rb,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.rar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.rar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.rb,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.swp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.swp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.swp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.tar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.tar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.tmp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.txt,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.txt,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.txt,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.tar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.tmp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/jsp.tgz,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.tgz,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.tmp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.tar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.txt,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.tmp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.tmp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.tgz,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.txt,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.tgz,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/aspx.tgz,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/php.tgz,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/html.tar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.tar,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.tmp,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/htm.txt,,,,,
,,,,,,,,,,
403,,,,1KB,https://lib.beihua.edu.cn/asp.xml,,,,,
,,,,,,,,,,
