id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
81,1,1,1,https://admissions.beihua.edu.cn,admissions.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,国际教育交流学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
147,1,1,1,http://admissions.beihua.edu.cn,admissions.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,国际教育交流学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
46,1,1,1,http://apis.beihua.edu.cn,apis.beihua.edu.cn,1,apis.beihua.edu.cn,175.16.216.76,1,1,80,200,,ESOP网关配置工具,openresty,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
58,0,0,1,https://apis.beihua.edu.cn,apis.beihua.edu.cn,1,apis.beihua.edu.cn,175.16.216.76,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='apis.beihua.edu.cn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1091)')))""),)",,,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
87,1,1,1,https://arch.beihua.edu.cn,arch.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学档案馆,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
124,1,1,1,http://arch.beihua.edu.cn,arch.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学档案馆,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
51,1,1,1,https://atc.beihua.edu.cn,atc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
100,1,1,1,http://atc.beihua.edu.cn,atc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
105,1,1,1,http://authserver.beihua.edu.cn,authserver.beihua.edu.cn,1,authserver.beihua.edu.cn,175.16.216.76,1,1,80,200,OK,Welcome to nginx!,openresty,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
106,0,0,1,https://authserver.beihua.edu.cn,authserver.beihua.edu.cn,1,authserver.beihua.edu.cn,175.16.216.76,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='authserver.beihua.edu.cn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1091)')))""),)",,,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
50,1,1,1,https://bhdxcj.beihua.edu.cn,bhdxcj.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学继续教育学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
102,1,1,1,http://bhdxcj.beihua.edu.cn,bhdxcj.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学继续教育学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
96,1,1,1,https://bhuaa.beihua.edu.cn,bhuaa.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学校友会,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,SiteDossierQuery
126,1,1,1,http://bhuaa.beihua.edu.cn,bhuaa.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学校友会,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,SiteDossierQuery
191,1,1,1,https://bhuaa1.beihua.edu.cn,bhuaa1.beihua.edu.cn,3,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Finder
194,1,1,1,http://bhuaa1.beihua.edu.cn,bhuaa1.beihua.edu.cn,3,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Finder
38,1,1,1,https://bhuef.beihua.edu.cn,bhuef.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学教育基金会,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
94,1,1,1,http://bhuef.beihua.edu.cn,bhuef.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学教育基金会,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
33,0,1,1,http://bhxy.beihua.edu.cn,bhxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,80,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
35,0,1,1,https://bhxy.beihua.edu.cn,bhxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,443,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
17,1,1,1,https://bmed.beihua.edu.cn,bmed.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学基础医学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
44,1,1,1,http://bmed.beihua.edu.cn,bmed.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学基础医学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
119,1,1,1,https://bwc.beihua.edu.cn,bwc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学-安全保卫处（部）,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
169,1,1,1,http://bwc.beihua.edu.cn,bwc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学-安全保卫处（部）,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
74,1,1,1,https://bxds.beihua.edu.cn,bxds.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,首页 | 第六届吉林省冰雪创意大赛平台,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
181,1,1,1,http://bxds.beihua.edu.cn,bxds.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,首页 | 第六届吉林省冰雪创意大赛平台,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
73,1,1,1,https://ces.beihua.edu.cn,ces.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,教育科学学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
134,1,1,1,http://ces.beihua.edu.cn,ces.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,教育科学学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
2,1,1,1,http://cgjsb.beihua.edu.cn,cgjsb.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,医学检验教育成果申报,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
3,1,1,1,https://cgjsb.beihua.edu.cn,cgjsb.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,医学检验教育成果申报,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
59,0,1,1,http://chem.beihua.edu.cn,chem.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,80,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
