id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
23,1,1,1,http://authserver.ttmc.edu.cn,authserver.ttmc.edu.cn,1,authserver.ttmc.edu.cn,124.31.216.21,1,1,80,404,,'',openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
45,1,1,1,https://authserver.ttmc.edu.cn,authserver.ttmc.edu.cn,1,authserver.ttmc.edu.cn,124.31.216.21,1,1,443,404,,'',openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
24,1,1,1,http://bgs.ttmc.edu.cn,bgs.ttmc.edu.cn,1,bgs.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,党政办公网,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
29,1,1,1,https://bgs.ttmc.edu.cn,bgs.ttmc.edu.cn,1,bgs.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,党政办公网,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
56,1,1,1,http://bwc.ttmc.edu.cn,bwc.ttmc.edu.cn,1,bwc.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
61,1,1,1,https://bwc.ttmc.edu.cn,bwc.ttmc.edu.cn,1,bwc.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
14,1,1,1,http://cwc.ttmc.edu.cn,cwc.ttmc.edu.cn,1,cwc.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,IIS Windows Server,"Microsoft-IIS/10.0,ASP.NET",124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
37,1,1,1,https://cwc.ttmc.edu.cn,cwc.ttmc.edu.cn,1,cwc.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
20,1,1,1,http://cwk.ttmc.edu.cn,cwk.ttmc.edu.cn,1,cwk.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,财务处,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
54,1,1,1,https://cwk.ttmc.edu.cn,cwk.ttmc.edu.cn,1,cwk.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,财务处,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,MySSLQuery
91,1,1,1,http://dns0.ttmc.edu.cn,dns0.ttmc.edu.cn,1,dns0.ttmc.edu.cn,124.31.216.21,1,1,80,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
125,1,1,1,https://dns0.ttmc.edu.cn,dns0.ttmc.edu.cn,1,dns0.ttmc.edu.cn,124.31.216.21,1,1,443,200,OK,西藏藏医药大学,VWebServer,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
79,0,0,1,https://dns1.ttmc.edu.cn,dns1.ttmc.edu.cn,1,dns1.ttmc.edu.cn,202.112.14.135,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='dns1.ttmc.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002459CB410A0>, 'Connection to dns1.ttmc.edu.cn timed out. (connect timeout=13)'))""),)",,,202.112.14.0/24,AS24355,CERNET2 IX at University of Electronic Science and Technology of China,中国四川省成都市,教育网,QueryNS
80,0,0,1,http://dns1.ttmc.edu.cn,dns1.ttmc.edu.cn,1,dns1.ttmc.edu.cn,202.112.14.135,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='dns1.ttmc.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002459CB419D0>, 'Connection to dns1.ttmc.edu.cn timed out. (connect timeout=13)'))""),)",,,202.112.14.0/24,AS24355,CERNET2 IX at University of Electronic Science and Technology of China,中国四川省成都市,教育网,QueryNS
77,0,0,1,https://dns2.ttmc.edu.cn,dns2.ttmc.edu.cn,1,dns2.ttmc.edu.cn,202.112.14.136,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='dns2.ttmc.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002459CB41460>, 'Connection to dns2.ttmc.edu.cn timed out. (connect timeout=13)'))""),)",,,202.112.14.0/24,AS24355,CERNET2 IX at University of Electronic Science and Technology of China,中国四川省成都市,教育网,QueryNS
